Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
4342342000,Duplex,2016-10-31,3787.84,2017-10-30,25000
4350289000,Duplex,2016-10-31,4929.34,2017-06-07,13000
4350934000,Single Family,2015-11-16,9906.5,2017-03-07,1000
4351406000,Duplex,2016-09-08,3990.8,2017-04-20,5500
4360026000,Com/Res,2014-09-15,159.48,2017-10-23,1000
4360044000,Duplex,2016-07-11,588.21,2017-05-03,6000
4580722000,Multi-Family,2016-12-12,3989.33,2017-09-06,52000
4581009000,Single Family,2017-07-25,338.27,2017-12-20,18100
4581305000,Single Family,2016-07-11,509.25,2017-11-08,4200
4590430000,Single Family,2016-09-08,2037.55,2017-07-05,10153
4590537000,Duplex,2016-09-08,422.81,2017-04-26,5300
4600886000,Single Family,2016-07-11,257.69,2017-02-09,4800
4601111000,Single Family,2017-07-25,1991.18,2017-12-26,8025
4601138000,Single Family,2017-07-25,4963.06,2017-12-18,1000
4601187000,Single Family,2014-11-11,8143.74,2017-07-06,1
4601536000,Single Family,2016-07-11,149.9,2017-01-31,7808
4610508000,Single Family,2016-09-08,263.95,2017-05-24,2500
4620016000,Duplex,2016-07-11,2566.88,2017-01-12,7900
4620131110,Single Family,2016-09-08,370.6,2017-05-02,8200
4621155000,Single Family,2016-09-08,610.54,2017-05-23,8000
4680058000,Single Family - 2,2016-09-08,7433.82,2017-05-18,8000
4681278000,Duplex,2016-10-31,1626.36,2017-05-11,11200
4681450000,Multi-Family,2016-06-13,525.07,2017-06-07,7575
4704042000,Single Family,2016-06-13,1184.34,2017-04-06,6700
4709959000,Single Family,2012-12-17,2372.82,2017-01-10,1
4710011000,Duplex,2016-09-08,4152.64,2017-10-17,40000
4710186000,Single Family,2016-10-31,865.93,2017-05-04,39000
4710650000,Single Family,2016-09-08,193.74,2017-05-23,34000
4950245000,Single Family,2016-10-31,3723.85,2017-05-11,28000
4960323000,Duplex,2016-09-08,2525.32,2017-07-18,1000
4960604000,Tavern,2012-10-08,5235.85,2017-07-27,8100
4960845000,Duplex,2016-12-12,9295.73,2017-06-28,25800
4970393000,Duplex,2016-06-13,2181.17,2017-03-01,3105
4970512000,Multi-Family,2016-07-11,4948.15,2017-02-22,12500
5050705000,Single Family,2016-10-31,2514.96,2017-07-13,91000
5070750000,Single Family,2016-06-13,5935.63,2017-06-28,23000
5070892000,Duplex,2016-09-08,899.21,2017-05-09,72500
5380479000,Single Family,2016-07-11,937.74,2017-03-09,23300
5810622000,Restaurant,2016-01-04,9152.09,2017-06-30,38500
5821208000,Single Family,2016-07-11,7086.11,2017-03-09,85500
5940910000,Single Family,2016-12-12,3332.28,2017-09-20,58700
