Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
3461616000,Single Family,2013-08-16,"$3.976,83",2014-11-13,"$33,000,00"
3470805000,Duplex,2013-10-14,"$1.871,32",2014-08-11,"$5,000,00"
3480270000,Duplex,2012-10-08,"$3.123,69",2014-04-24,"$1,000,00"
3480999000,Duplex,2013-08-16,"$59,00",2014-04-24,"$1,000,00"
3481004000,Duplex,2013-08-16,"$320,86",2014-04-22,"$1,000,00"
3481069000,Multi-Family,2013-12-02,"$853,49",2014-11-28,"$1,000,00"
3481077000,Single Family,2013-08-16,"$407,77",2014-06-06,"$9,000,00"
3490326000,Duplex,2012-10-08,"$1.865,51",2014-04-22,"$1,000,00"
3490351000,Single Family,2011-06-29,"$1.590,79",2014-07-25,"$1,000,00"
3490546000,Duplex,2012-12-17,"$1.304,18",2014-04-22,"$1,000,00"
3490817100,Rooming House,2012-01-30,"$1.738,94",2014-03-05,"$3,500,00"
3491181000,Multi-Family,2013-08-16,"$9.100,89",2014-07-31,"$2,625,00"
3491313000,Mixed use,2009-07-20,"$2.393,42",2014-11-05,"$1,00"
3491811000,Duplex,2012-10-08,"$1.154,58",2014-01-28,"$1,000,00"
3502034000,Duplex,2011-06-29,"$10.518,27",2014-11-25,"$1,000,00"
3502399100,Single Family,2012-10-08,"$1.823,89",2014-09-12,"$1,000,00"
3511901000,Duplex,2012-07-09,"$1.345,46",2014-02-20,"$1,000,00"
3540045000,Duplex,2013-10-14,"$2.221,88",2014-10-30,"$13,500,00"
3601101000,Condominium,2012-07-09,"$10.214,17",2014-07-31,"$1,00"
3640342000,Single Family,2012-10-08,"$2,462,00",2014-09-26,"$2,500,00"
3640377111,Duplex,2012-12-17,"$803,14",2014-09-12,"$1,000,00"
3640602000,Duplex,2014-06-02,"$763,17",2014-11-26,"$1,000,00"
3641326000,Single Family,2013-12-02,"$757,59",2014-10-10,"$9,500,00"
3641403000,Single Family,2013-12-02,"$928,45",2014-10-15,"$5,475,00"
3641465000,Duplex,2013-08-16,"$217,54",2014-05-02,"$16,000,00"
3641503000,Multi-Family,2012-10-08,"$1.697,51",2014-05-20,"$1,000,00"
3642716000,Single Family,2014-06-02,"$350,70",2014-11-26,"$1,000,00"
3651187100,Single Family,2013-08-16,"$672,87",2014-02-04,"$5,000,00"
3660201000,Single Family,2014-07-14,"$179,64",2014-12-23,"$1,000,00"
3660361000,Duplex,2013-10-14,"$1.952,91",2014-09-05,"$3,000,00"
3660378100,Duplex,2013-08-16,"$289,85",2014-09-30,"$1,00"
3661040000,Single Family,2013-12-02,"$454,71",2014-11-04,"$8,025,00"
3661503000,Single Family,2013-12-02,"$205,29",2014-07-25,"$1,000,00"
3870320000,Duplex,2013-08-16,"$2.570,36",2014-08-04,"$10,800,00"
3880402000,Duplex,2013-08-16,"$3.782,15",2014-07-28,"$1,000,00"
3881022000,Duplex,2013-10-14,"$3.361,89",2014-09-08,"$25,000,00"
3891722000,Single Family,2013-12-02,"$77,82",2014-08-18,"$7,500,00"
3899988100,Duplex,2013-08-16,"$381,88",2014-12-04,"$4,000,00"
4000304000,Single Family,2012-12-17,"$630,61",2014-01-23,"$6,375,00"
4010363000,Duplex,2012-10-08,"$3.327,28",2014-02-06,"$10,000,00"
