"Key No.","Property Type","Acquired","Total Mgt. Expenses","Closed","Sale Price "
3491539000,"Duplex","2015-07-13",1162.09,"2016-05-17",3000
3491567000,"Single Family","2015-06-08",157.16,"2016-02-09",1000
3491737000,"Multi-Family","2015-07-13",878.46,"2016-04-14",12500
3491742000,"Single Family","2016-01-04",3348.39,"2016-11-03",5000
3500209100,"Single Family","2015-07-13",399.22,"2016-02-16",3001
3500967000,"Single Family","2015-01-05",1739.24,"2016-10-26",10000
3501323000,"Plumbing/Heating Contr.","2009-07-20",1066.07,"2016-10-03",10501
3502264100,"Single Family","2015-11-16",467.45,"2016-07-07",4000
3502359000,"Duplex - 2","2015-06-08",7522.77,"2016-04-28",5550
3502437000,"Duplex","2016-01-04",1683.55,"2016-08-10",7700
3530655100,"Single Family","2014-07-14",4683.88,"2016-05-05",9000
3630763100,"Duplex","2015-11-16",1325.41,"2016-06-22",6000
3630933000,"Single Family","2016-01-04",4920.28,"2016-08-24",3750
3633203000,"Single Family","2015-11-16",1619.49,"2016-10-27",90000
